| Header                                                       | Subheader                                                                        | Subsubheader                                                                     | Chunk #    | Chunk Summary                                                |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 185        | Policy number, period, and identification.                   |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 186        | Policy header identifies insured risk type.                  |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 187        | Client and policy header data.                               |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 188        | Policy header: insurance type label.                         |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 189        | Policy agreements define covered risks.                      |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 190        | Home insurance policy coverage details.                      |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 191        | Home insurance covers third-party liability.                 |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 192        | Additional insurance coverage details.                       |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 193        | Two agreement structure options.                             |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 194        | Single policy, single or multiple risks.                     |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 195        | General liability policy coverage types                      |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 196        | Single policy, multiple coverage agreements.                 |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 197        | Policy sections define coverage agreements.                  |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 198        | One policy, multiple agreements/coverages.                   |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 199        | Multiple coverages within single policy                      |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 200        | Bundling insurance coverage options.                         |
| 3. The policy                                                | 3.2. Agreements                                                                  |                                                                                  | 201        | Policy structure varies regionally.                          |
| 3. The policy                                                |                                                                                  |                                                                                  | 202        | Policy definitions: understand coverage limits.              |
| 3. The policy                                                |                                                                                  |                                                                                  | 203        | Policy coverage details and exclusions.                      |
| 3. The policy                                                |                                                                                  |                                                                                  | 204        | Exclusions define policy coverage limits.                    |
| 3. The policy                                                |                                                                                  |                                                                                  | 205        | Drunk driving not covered by insurance.                      |
| 3. The policy                                                |                                                                                  |                                                                                  | 206        | Exclusions can broaden insurance coverage.                   |
| 3. The policy                                                |                                                                                  |                                                                                  | 207        | Example illustrating a concept.                              |
| 3. The policy                                                |                                                                                  |                                                                                  | 208        | D&O exclusions can broaden coverage.                         |
| 3. The policy                                                |                                                                                  |                                                                                  | 209        | Insurance covers wrongful termination lawsuits.              |
| 3. The policy                                                |                                                                                  |                                                                                  | 210        | D&O policy exclusions and employment claims                  |
| 3. The policy                                                |                                                                                  |                                                                                  | 211        | Policy conditions for coverage validity.                     |
| 3. The policy                                                |                                                                                  |                                                                                  | 212        | Policy breach voids or denies coverage.                      |
| 3. The policy                                                |                                                                                  |                                                                                  | 213        | Conditions requiring fulfillment.                            |
| 3. The policy                                                |                                                                                  |                                                                                  | 214        | Premium payment and safety compliance.                       |
| 3. The policy                                                |                                                                                  |                                                                                  | 215        | Illustrative example provided.                               |
| 3. The policy                                                |                                                                                  |                                                                                  | 216        | Warehouse fire safety upgrade condition.                     |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 217        | Insurance policy endorsements/mid-term adjustments.          |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 218        | Mid-term policy adjustments explained.                       |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 219        | Endorsements: Policy changes, no premium effect.             |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 220        | Endorsements modify insurance premiums.                      |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 221        | Fleet insurance premium adjustments.                         |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 222        | Company medical insurance endorsements.                      |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 223        | Pre-policy insurance endorsements.                           |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 224        | Policy complexity varies, unlike standard insurance.         |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 225        | Policy endorsements for last-minute changes.                 |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 226        | Policy endorsements: adding, modifying, excluding clauses.   |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 227        | Endorsements add or modify insurance coverage.               |
| 3. The policy                                                | 3.6. Endorsements                                                                |                                                                                  | 228        | Legal support for unemployment eligibility.                  |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      |                                                                                  | 229        | Upcoming discussion: two policy items.                       |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      |                                                                                  | 230        | Marine insurance policy termination.                         |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 231        | Types of marine transport insurance                          |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 232        | Insurance for vessels, cargo, and liability.                 |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 233        | Staff coverage for injury and illness.                       |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 234        | Regular marine cargo insurance policies.                     |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 235        | Open cover insurance policy agreement.                       |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 236        | Shipping company's unpredictable transport volume.           |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 237        | Open marine cargo insurance for Toyota.                      |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | A. Marine insurance & the use of marine policies and certificates                | 238        | Marine insurance premium calculation.                        |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 239        | Policy expiration and non-renewal.                           |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 240        | Insurer policy renewal and cancellation.                     |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 241        | Unearned premium returned on early cancellation.             |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 242        | Insurer policy cancellation conditions and reasons.          |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 243        | Insurance policy exclusions or invalidations.                |
| 3. The policy                                                | 3.x Additional topics related to the policy                                      | B. How can an insurance policy end?                                              | 244        | Policy termination for high-risk individuals.                |
| 4. Insurance definitions/ terminology                        |                                                                                  |                                                                                  | 245        | Common insurance terms and definitions.                      |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 246        | Insurance billing methods compared.                          |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 247        | Broker bills client, pays insurer net.                       |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 248        | Commission rates for insurance brokers.                      |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 249        | Broker invoices, collects, then pays insurer.                |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 250        | Regional variations in insurance practices.                  |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 251        | Agency billing applies to brokers too.                       |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 252        | Insurer directly bills client, pays broker.                  |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 253        | Broker commission reconciliation challenges.                 |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 254        | Commission complexity for installment plans.                 |
| 4. Insurance definitions/ terminology                        | 4.1. Insurance definitions/ terminology                                          |                                                                                  | 255        | Commission reconciliation timing complexities                |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 256        | Policy start and effective dates.                            |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 257        | Inception and effective dates of insurance.                  |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 258        | Coverage dates: single vs. multiple types.                   |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 259        | Policy dates: inception vs. coverage effective.              |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 260        | Policy coverage effective dates vary.                        |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 261        | Policy effective dates differ from signing.                  |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 262        | Premium affected by delayed coverage start.                  |
| 4. Insurance definitions/ terminology                        | 4.2. Inception & effective date                                                  |                                                                                  | 263        | Coverage renewal synchronizes after first year.              |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 264        | Excess of loss and co-insurance explained.                   |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 265        | Co-insurance: Shared risk by multiple insurers.              |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 266        | Co-insurance has multiple meanings in insurance.             |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 267        | Deductibles and client cost-sharing.                         |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 268        | Co-insurance: Initial costs paid by insured.                 |
| 4. Insurance definitions/ terminology                        | 4.3. Co-insurance                                                                |                                                                                  | 269        | Co-insurance: Shared risk among insurers.                    |
| 4. Insurance definitions/ terminology                        | 4.4. Fees versus Commissions                                                     |                                                                                  | 270        | Insurance: Fees versus Commissions Defined                   |
| 4. Insurance definitions/ terminology                        | 4.4. Fees versus Commissions                                                     |                                                                                  | 271        | Insurer as client for non-commission services.               |
| 4. Insurance definitions/ terminology                        | 4.4. Fees versus Commissions                                                     |                                                                                  | 272        | Broker fees for data insights.                               |
| 4. Insurance definitions/ terminology                        | 4.4. Fees versus Commissions                                                     |                                                                                  | 273        | Broker fees for insurance services.                          |
| 4. Insurance definitions/ terminology                        | 4.4. Fees versus Commissions                                                     |                                                                                  | 274        | Insurance commission: agent/broker income.                   |
| 4. Insurance definitions/ terminology                        | 4.5. Dispersing the Premium                                                      |                                                                                  | 275        | Premium splitting across client entities.                    |
| 4. Insurance definitions/ terminology                        | 4.5. Dispersing the Premium                                                      |                                                                                  | 276        | Spread premium payments over time.                           |
| 4. Insurance definitions/ terminology                        | 4.5. Dispersing the Premium                                                      |                                                                                  | 277        | Premium dispersal example for multiple locations.            |
| 4. Insurance definitions/ terminology                        | 4.5. Dispersing the Premium                                                      |                                                                                  | 278        | Client entity payments/allocations listed.                   |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 279        | Distributing insurance premium payments.                     |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 280        | Multi-client insurance: one policy, many sub-agreements.     |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 281        | Insurance premiums for linked entities.                      |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 282        | Insurance agreements with multiple parties.                  |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 283        | Client and broker allocate premiums.                         |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 284        | Premium allocation based on store size.                      |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 285        | Multi-client policies and sub-agreements.                    |
| 4. Insurance definitions/ terminology                        | 4.6. Multi-client & sub-agreements                                               |                                                                                  | 286        | Declarations summarize multi-client invoices.                |
| 4. Insurance definitions/ terminology                        | 4.7. Massive multi-client                                                        |                                                                                  | 287        | Multi-client insurance policy structure.                     |
| 4. Insurance definitions/ terminology                        | 4.7. Massive multi-client                                                        |                                                                                  | 288        | Large-scale shared insurance platform.                       |
| 4. Insurance definitions/ terminology                        | 4.8. Multi-income                                                                |                                                                                  | 289        | Shared income across insurance departments.                  |
| 4. Insurance definitions/ terminology                        | 4.8. Multi-income                                                                |                                                                                  | 290        | Premium payment and commission splitting.                    |
| 4. Insurance definitions/ terminology                        | 4.8. Multi-income                                                                |                                                                                  | 291        | Internal broker income allocation.                           |
| 4. Insurance definitions/ terminology                        | 4.8. Multi-income                                                                |                                                                                  | 292        | Shared income across broker departments.                     |
| 4. Insurance definitions/ terminology                        | 4.8. Multi-income                                                                |                                                                                  | 293        | Splitting commission for combined policies.                  |
| 4. Insurance definitions/ terminology                        | 4.9. Revenue share & sub-agent                                                   |                                                                                  | 294        | Revenue sharing between brokers and agents.                  |
| 4. Insurance definitions/ terminology                        | 4.9. Revenue share & sub-agent                                                   |                                                                                  | 295        | Revenue sharing with sub-agents.                             |
| 4. Insurance definitions/ terminology                        | 4.9. Revenue share & sub-agent                                                   |                                                                                  | 296        | Insurance sold via online retailers.                         |
| 4. Insurance definitions/ terminology                        | 4.9. Revenue share & sub-agent                                                   |                                                                                  | 297        | Car dealers as insurance sub-agents.                         |
| 4. Insurance definitions/ terminology                        | 4.10. Third party & wholesale                                                    |                                                                                  | 298        | Brokers offer third-party/wholesale insurance.               |
| 4. Insurance definitions/ terminology                        | 4.10. Third party & wholesale                                                    |                                                                                  | 299        | Wholesale brokers connect brokers to clients.                |
| 4. Insurance definitions/ terminology                        | 4.10. Third party & wholesale                                                    |                                                                                  | 300        | Third-party and wholesale insurance distribution.            |
| 4. Insurance definitions/ terminology                        | 4.10. Third party & wholesale                                                    |                                                                                  | 301        | Wholesale insurance: broker-to-broker sales.                 |
| 4. Insurance definitions/ terminology                        | 4.10. Third party & wholesale                                                    |                                                                                  | 302        | Broker vs. sub-agent invoicing differences.                  |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 303        | Carrier placement means choosing the insurer.                |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 304        | Actual carrier placement distribution.                       |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 305        | Actual insurer vs. intermediary entity.                      |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 306        | Opposite of wholesale insurance.                             |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 307        | Rephrasing or explaining a concept.                          |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 308        | Broker uses intermediary, not direct insurer.                |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 309        | Insurance carrier placement and payouts.                     |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 310        | Brokers use intermediaries for better insurer...             |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 311        | Aon Canada uses Aon UK for...                                |
| 4. Insurance definitions/ terminology                        | 4.11. Actual Carrier Placement                                                   |                                                                                  | 312        | Aon carrier and placement tables.                            |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 313        | Income: Pass-through vs. Non-pass-through                    |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 314        | Income categorization: pass-through vs. non-pass-through     |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 315        | Broker income: pass-through vs. non-pass-through.            |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 316        | Insurance billing through agencies.                          |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 317        | Broker income: pass-through vs. non-pass-through.            |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 318        | Direct billing: Insurer pays broker commission.              |
| 4. Insurance definitions/ terminology                        | 4.12. Pass-Through & non-pass-through income                                     |                                                                                  | 319        | Insurer faces similar differentiation.                       |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 |                                                                                  | 320        | Key insurance metrics overview.                              |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.1. Gross Written Premium                                                     | 321        | Total premiums received by insurer.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.2. Net Written Premium                                                       | 322        | Net Written Premium: Insurer's retained income.              |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.2. Net Written Premium                                                       | 323        | Net Written Premium Calculation Formula                      |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.3. Gross Earned Premium                                                      | 324        | Earned premium recognized as revenue.                        |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.3. Gross Earned Premium                                                      | 325        | Gross Earned Premium (GEP) vs. Gross...                      |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.4. Net Earned Premium                                                        | 326        | Earned premium: revenue from expired policies.               |
| 5. The insurance Balance Sheet and financial indicators      | 5.1. Insurance financial metrics                                                 | 5.1.5. Investment income                                                         | 327        | Insurers invest premiums for income.                         |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  |                                                                                  | 328        | Insurer's three key performance metrics.                     |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  |                                                                                  | 329        | Key insurance profitability ratios.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  |                                                                                  | 330        | Insurance ratios by line of business.                        |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.1. Loss ratio (LR)                                                           | 331        | Loss ratio: claims versus premiums.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.1. Loss ratio (LR)                                                           | 332        | Loss ratio calculation formula                               |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.1. Loss ratio (LR)                                                           | 333        | Loss ratio: losses versus premiums.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.1. Loss ratio (LR)                                                           | 334        | Calculating insurance loss ratio example.                    |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.1. Loss ratio (LR)                                                           | 335        | Loss ratio affects insurer profitability.                    |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 336        | Expense ratio measures insurer efficiency.                   |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 337        | Expense ratio calculation formula.                           |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 338        | Expense ratio: operating costs vs. premiums.                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 339        | Calculating insurance expense ratio example.                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 340        | Expense ratio measures insurer efficiency.                   |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 341        | Expense ratio indicates insurer efficiency.                  |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.2. Expense ratio (ER) or Tech ratio (TR)                                     | 342        | Tech ratio definition variations among insurers.             |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 343        | Combined ratio measures insurer profitability.               |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 344        | Combined ratio calculation formula.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 345        | Combined ratio calculates profitability.                     |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 346        | Combined ratio indicates underwriting profitability.         |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 347        | Combined ratio and insurer profitability.                    |
| 5. The insurance Balance Sheet and financial indicators      | 5.2. Insurance financial ratios                                                  | 5.2.3. Combined ratio (CR)                                                       | 348        | Insurance ratio analysis for financial health.               |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 349        | Chain Ladder method example illustration.                    |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 350        | Estimating future insurance claim reserves.                  |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 351        | Explanation of a process.                                    |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 352        | Claim data collection using loss triangles.                  |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 353        | Loss development triangle structure and data.                |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 354        | Chain ladder method: CLM development factors                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 355        | Projecting future claim payments using factors.              |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 356        | Reserves: Estimated funds for future claims.                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 357        | Predicting future claims using chain ladder.                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 358        | Alternative loss reserving methods.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 359        | Claim reserving methods comparison.                          |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 360        | Insurance loss reserve estimation methods.                   |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 361        | Insurance industry overview and connections.                 |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 362        | Insurance industry: adapt and innovate.                      |
| 5. The insurance Balance Sheet and financial indicators      | 5.3. Loss Reserving Triangulation                                                |                                                                                  | 363        | Contact Jon for insurance help.                              |
